,Rotation,P,Mx,My,NeutralAxis,ResistanceFactor,P_factored,Mx_factored,My_factored
0,0,216.0,0.0,1.7053025658242404e-13,0.01,0.9,194.4,0.0,1.5347723092418165e-13
1,0,216.0,0.0,1.7053025658242404e-13,0.19333484067767034,0.9,194.4,0.0,1.5347723092418165e-13
2,0,216.0,0.0,1.7053025658242404e-13,0.3766696813553407,0.9,194.4,0.0,1.5347723092418165e-13
3,0,170.1,533.5875000000001,8.526512829121202e-14,0.560004522033011,0.9,153.09,480.2287500000001,7.673861546209083e-14
4,0,156.50000000000006,690.7430555555554,5.684341886080802e-14,0.7433393627106814,0.9,140.85000000000005,621.6687499999999,5.1159076974727215e-14
5,0,145.38714698336958,807.4280122301752,5.684341886080802e-14,0.9266742033883517,0.9,130.84843228503263,726.6852110071577,5.1159076974727215e-14
6,0,103.51989738349238,1247.034133028886,2.842170943040401e-14,1.110009044066022,0.9,93.16790764514315,1122.3307197259974,2.5579538487363607e-14
7,0,73.5222296103029,1562.0096446473754,0.0,1.2933438847436924,0.9,66.17000664927261,1405.8086801826378,0.0
8,0,50.9731930758822,1798.7745282587925,-2.842170943040401e-14,1.4766787254213627,0.9,45.87587376829398,1618.8970754329134,-2.5579538487363607e-14
9,0,-3.3151323307519505,2386.0144450284515,4.263256414560601e-13,1.660013566099033,0.9,-2.9836190976767556,2147.4130005256065,3.836930773104541e-13
10,0,-3.3151323307519505,2386.0144450284515,4.263256414560601e-13,1.660013566099033,0.9,-2.9836190976767556,2147.4130005256065,3.836930773104541e-13
11,0,-132.4819033705815,3721.104082613328,2.2737367544323206e-13,2.9551594510449455,0.9,-119.23371303352336,3348.993674351995,2.0463630789890886e-13
12,0,-237.45338232646333,4721.286903316754,8.526512829121202e-14,4.250305335990857,0.9,-213.708044093817,4249.158212985079,7.673861546209083e-14
13,0,-311.27,5345.22076388889,2.842170943040401e-14,5.54545122093677,0.9,-280.143,4810.698687500001,2.5579538487363607e-14
14,0,-378.42,5840.210000000002,2.842170943040401e-14,6.840597105882682,0.9,-340.57800000000003,5256.189000000002,2.5579538487363607e-14
15,0,-445.56999999999994,6276.254097222223,2.842170943040401e-14,8.135742990828595,0.9,-401.013,5648.628687500001,2.5579538487363607e-14
16,0,-512.7199999999998,6653.353055555555,-2.842170943040401e-14,9.430888875774507,0.8544183096163682,-438.07735570650414,5684.7466710086765,-2.4284028927933384e-14
17,0,-579.8699999999999,6971.506874999997,-5.400124791776761e-13,10.72603476072042,0.8112066805398546,-470.3944178446454,5655.3329504295225,-4.3806173068382e-13
18,0,-700.5699999999988,7394.71243055555,-6.536993168992922e-13,12.021180645666332,0.7773061774217436,-544.5573887163499,5747.955652528185,-5.081245172021938e-13
19,0,-767.7199999999984,7548.119722222215,-7.105427357601002e-13,13.316326530612244,0.75,-575.7899999999988,5661.089791666662,-5.329070518200751e-13
20,0,-767.7199999999984,7548.119722222215,-7.105427357601002e-13,13.316326530612244,0.75,-575.7899999999988,5661.089791666662,-5.329070518200751e-13
21,0,-853.7027402135217,7444.838102757998,-1.0516032489249483e-12,14.33673469387755,0.65,-554.9067811387891,4839.144766792699,-6.835421118012164e-13
22,0,-883.6327906976727,7285.461461563298,-9.947598300641403e-13,15.357142857142856,0.65,-574.3613139534873,4735.549950016144,-6.465938895416912e-13
23,0,-965.0779439252325,7158.790477673929,-1.1937117960769683e-12,16.377551020408163,0.65,-627.3006635514012,4653.213810488054,-7.759126674500294e-13
24,0,-1044.8462463343103,6990.7812884897285,-1.6058265828178264e-12,17.397959183673468,0.65,-679.1500601173017,4544.007837518324,-1.0437872788315872e-12
25,0,-1123.2163988919667,6778.507533856564,-3.694822225952521e-13,18.418367346938773,0.65,-730.0906592797784,4406.029897006767,-2.401634446869139e-13
26,0,-1186.808582677167,6555.92397911198,-4.831690603168681e-13,19.43877551020408,0.65,-771.4255787401585,4261.350586422787,-3.140598892059643e-13
27,0,-1262.999052369081,6260.73550568024,-4.440892098500626e-13,20.459183673469386,0.65,-820.9493840399027,4069.478078692156,-2.886579864025407e-13
28,0,-1338.3305700712651,5915.620889251781,1.1901590823981678e-13,21.47959183673469,0.65,-869.9148705463224,3845.1535780136574,7.736034035588092e-14
29,0,-1403.740000000009,5615.743055555556,-6.750155989720952e-13,22.5,0.65,-912.431000000006,3650.232986111111,-4.3876013933186186e-13
30,0,-1403.740000000009,5615.743055555556,-6.750155989720952e-13,22.5,0.65,-912.431000000006,3650.232986111111,-4.3876013933186186e-13
31,0,-1496.5361538461657,5027.537259615387,-4.574118861455645e-13,24.375,0.65,-972.7485000000078,3267.899218750001,-2.973177259946169e-13
32,0,-1627.5614285714423,4072.7107638888892,-2.4158453015843406e-13,26.25,0.65,-1057.9149285714375,2647.261996527778,-1.5702994460298215e-13
33,0,-1717.2600000000148,3303.9275,4.405364961712621e-13,28.125,0.65,-1116.2190000000096,2147.552875,2.863487225113204e-13
34,0,-1845.7900000000166,2057.8972222222214,-2.4868995751603507e-13,30.0,0.65,-1199.7635000000107,1337.633194444444,-1.616484723854228e-13
35,0,-2033.3025000000182,3.5437499999995907,2.2737367544323206e-13,72.0,0.65,-1321.646625000012,2.3034374999997342,1.4779288903810084e-13
36,180,216.0,0.0,-1.9895196601282805e-13,0.01,0.9,194.4,0.0,-1.7905676941154524e-13
37,180,216.0,0.0,-1.9895196601282805e-13,0.19333484067767034,0.9,194.4,0.0,-1.7905676941154524e-13
38,180,216.0,0.0,-1.9895196601282805e-13,0.3766696813553407,0.9,194.4,0.0,-1.7905676941154524e-13
39,180,170.1,533.5875000000001,-2.2737367544323206e-13,0.560004522033011,0.9,153.09,480.2287500000001,-2.0463630789890886e-13
40,180,156.50000000000006,690.7430555555552,-2.5579538487363607e-13,0.7433393627106814,0.9,140.85000000000005,621.6687499999997,-2.3021584638627245e-13
41,180,145.3871469833699,807.4280122301716,-2.5579538487363607e-13,0.9266742033883517,0.9,130.8484322850329,726.6852110071544,-2.3021584638627245e-13
42,180,103.51989738349263,1247.034133028883,-2.5579538487363607e-13,1.110009044066022,0.9,93.16790764514337,1122.3307197259946,-2.3021584638627245e-13
43,180,73.52222961030313,1562.009644647373,-2.5579538487363607e-13,1.2933438847436924,0.9,66.17000664927282,1405.8086801826357,-2.3021584638627245e-13
44,180,50.97319307588239,1798.7745282587907,-2.5579538487363607e-13,1.4766787254213627,0.9,45.875873768294156,1618.8970754329116,-2.3021584638627245e-13
45,180,-3.315132330751772,2386.014445028449,-7.105427357601002e-13,1.660013566099033,0.9,-2.983619097676595,2147.413000525604,-6.394884621840902e-13
46,180,-3.315132330751772,2386.014445028449,-7.105427357601002e-13,1.660013566099033,0.9,-2.983619097676595,2147.413000525604,-6.394884621840902e-13
47,180,-132.48190337058145,3721.104082613326,-6.252776074688882e-13,2.9551594510449455,0.9,-119.2337130335233,3348.993674351994,-5.627498467219994e-13
